taxonName,weedlistName,NatureServeName,weakleyName,include,USDA Plants,USGS Exotic Plants,irank to report,IRank (Reflects level of invasiveness in the Mid-Atlantic region,Nature Serve IRank (Reflects level of invasiveness nationally),Also native (either range or ecotypes),NatureServe_IRank,most Exotic Status,least ExoticStatus
×Achnella,,,,FALSE,×Achnella,#N/A,,,,,,,
×Achnella caduca hymenoides × viridula,,,,no-hybrid,×Achnella caduca hymenoides × viridula,#N/A,,,,,,,
×Agropogon,,,,FALSE,×Agropogon,#N/A,,,,,,,
×Agropogon littoralis stolonifera × monospeliensis,,,,no-hybrid,×Agropogon littoralis stolonifera × monospeliensis,#N/A,,,,,,,
×Citrofortunella microcarpa reticulata × japonica,,,,no-hybrid,×Citrofortunella microcarpa reticulata × japonica,#N/A,,,,,,,
×Hesperotropsis ×,,,,no-hybrid,×Hesperotropsis ×,#N/A,,,,,,,
×Hesperotropsis leylandii,,,×Hesperotropsis leylandii,FALSE,,×Hesperotropsis leylandii,,,,,,exotic,exotic
×Hesperotropsis leylandii macrocarpa × nootkatensis,,,,no-hybrid,×Hesperotropsis leylandii macrocarpa × nootkatensis,#N/A,,,,,,,
×Schedolium ×,,,,no-hybrid,×Schedolium ×,#N/A,,,,,,,
×Schedolium loliaceum pratensis × perenne,,,,no-hybrid,×Schedolium loliaceum pratensis × perenne,#N/A,,,,,,,
Abdra aprica,,,Abdra aprica,FALSE,,#N/A,,,,,,maybe exotic,not exotic
Abelia,,,,FALSE,Abelia,#N/A,,,,,,,
Abelia ×grandiflora,,,Abelia ×grandiflora,no-hybrid,Abelia ×grandiflora,Abelia ×grandiflora,,,,,,exotic,exotic
Abelmoschus,,,,FALSE,Abelmoschus,#N/A,,,,,,,
Abelmoschus esculentus,,,Abelmoschus esculentus,TRUE,Abelmoschus esculentus,Abelmoschus esculentus,,,,,,exotic,exotic
Abelmoschus manihot,,,,TRUE,Abelmoschus manihot,Abelmoschus manihot,,,,,,,
Abelmoschus moschatus,,,,TRUE,Abelmoschus moschatus,Abelmoschus moschatus,,,,,,,
Abies alba,,,Abies alba,TRUE,Abies alba,Abies alba,,,,,,exotic,exotic
Abies firma,,,Abies firma,TRUE,Abies firma,Abies firma,,,,,,exotic,exotic
Abies fraseri,,,Abies fraseri,FALSE,,#N/A,,,,,,exotic,not exotic
Abies homolepis,,,,TRUE,Abies homolepis,Abies homolepis,,,,,,,
Abrus,,,,FALSE,Abrus,#N/A,,,,,,,
Abrus precatorius,,,Abrus precatorius,TRUE,Abrus precatorius,Abrus precatorius,,,,,,exotic,exotic
Abutilon abutiloides,,,,TRUE,Abutilon abutiloides,#N/A,,,,,,,
Abutilon auritum,,,,TRUE,Abutilon auritum,Abutilon auritum,,,,,,,
