"SN","Native Status"
"Abelia","L48(I)"
"Abelia ×grandiflora","L48(I)"
"Abelmoschus","L48(I)"
"Abelmoschus esculentus","L48(I)PR(I)VI(I)"
"Abelmoschus manihot","L48(I)"
"Abelmoschus moschatus","L48(I)HI(I)PR(I)"
"Abies alba","L48(I)"
"Abies firma","L48(I)"
"Abies homolepis","L48(I)"
"Abrus","L48(I)"
"Abrus precatorius","L48(I)HI(I)PR(I)VI(I)"
"Abutilon grandifolium","L48(I)HI(I)"
"Abutilon hirtum","L48(I)PR(I)VI(I)"
"Abutilon indicum","L48(I)HI(I)PR(N)VI(N)"
"Abutilon theophrasti","L48(I)CAN(I)"
"Acacia","L48(I)"
"Acacia auriculiformis","L48(I)"
"Acacia baileyana","L48(I)"
"Acacia confusa","L48(I)HI(I)"
"Acacia cornigera","L48(I)"
"Acacia cyclops","L48(I)"
"Acacia dealbata","L48(I)"
"Acacia decurrens","L48(I)"
"Acacia elata","L48(I)"
"Acacia longifolia","L48(I)"
"Acacia mearnsii","L48(I)HI(I)"
"Acacia melanoxylon","L48(I)HI(I)"
"Acacia paradoxa","L48(I)"
"Acacia podalyriifolia","L48(I)"
"Acacia pycnantha","L48(I)"
"Acacia redolens","L48(I)"
"Acacia retinodes","L48(I)"
"Acacia saligna","L48(I)"
"Acacia sphaerocephala","L48(I)"
"Acacia verticillata","L48(I)"
"Acaena novae-zelandiae","L48(I)"
"Acaena pallida","L48(I)"
"Acalypha alopecuroidea","L48(I)PR(N)"
"Acalypha amentacea","L48(I)"
"Acalypha amentacea ssp. wilkesiana","L48(I)PR(I)"
"Acalypha arvensis","L48(I)"
"Acalypha australis","L48(I)"
"Acalypha hispida","L48(I)PR(I)"
"Acalypha indica","L48(I)"
"Acalypha lanceolata","L48(I)"
"Acalypha wilkesiana","L48(I)PR(I)"
"Acanthospermum","L48(I)CAN(I)"
"Acanthospermum australe","L48(I)HI(I)"
"Acanthospermum hispidum","L48(I)HI(I)PR(N)VI(N)CAN(I)"
"Acanthospermum humile","L48(I)"
"Acanthus","L48(I)"
"Acanthus mollis","L48(I)"
"Acer campestre","L48(I)CAN(I)"
"Acer ginnala","L48(I)CAN(I)"
"Acer palmatum","L48(I)CAN(I)"
"Acer platanoides","L48(I)CAN(I)"
"Acer pseudoplatanus","L48(I)CAN(I)"
"Acer tataricum","L48(I)"
"Achillea ageratum","L48(I)"
"Achillea distans","L48(I)CAN(I)"
"Achillea filipendulina","L48(I)CAN(I)"
"Achillea ligustica","L48(I)"
"Achillea millefolium var. millefolium","L48(I)HI(I)CAN(I)SPM(I)"
"Achillea nobilis","L48(I)"
"Achillea ptarmica","L48(I)AK(I)CAN(I)GL(I)SPM(I)"
